,Submission,Title,Cited
427,428,Improving Scene Text Image Super-resolution via Dual Prior Modulation Network,2
1154,1155,Efficient Exploration in Resource-Restricted Reinforcement Learning,2
1585,1586,Counterfactuals for the Future,2
1498,1499,Graph Component Contrastive Learning for Concept Relatedness Estimation,2
556,557,Show Me the Way! Bilevel Search for Synthesizing Programmatic Strategies,2
1133,1134,FedABC: Targeting Fair Competition in Personalized Federated Learning,2
643,644,Partitioning Friends Fairly,2
1631,1632,Noise Based Deepfake Detection via Multi-Head Relative-Interaction,2
1102,1103,Concurrent Multi-Label Prediction in Event Streams,2
639,640,Strategic Facility Location with Clients That Minimize Total Waiting Time,2
1233,1234,Stable Learning via Sparse Variable Independence,2
1542,1543,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling,2
1235,1236,Offline Imitation Learning with Suboptimal Demonstrations via Relaxed Distribution Matching,2
519,520,Human-Instructed Deep Hierarchical Generative Learning for Automated Urban Planning,2
1252,1253,Interventional SHAP Values and Interaction Values for Piecewise Linear Regression Trees,2
523,524,Beyond Graph Convolutional Network: An Interpretable Regularizer-Centered Optimization Framework,2
1598,1599,Low Emission Building Control with Zero-Shot Reinforcement Learning,2
158,159,LWSIS: LiDAR-Guided Weakly Supervised Instance Segmentation for Autonomous Driving,2
24,25,Multi-Level Compositional Reasoning for Interactive Instruction Following,2
1543,1544,VideoDubber: Machine Translation with Speech-Aware Length Control for Video Dubbing,2
146,147,Disentangle and Remerge: Interventional Knowledge Distillation for Few-Shot Object Detection from a Conditional Causal Perspective,2
534,535,One-for-All: Proposal Masked Cross-Class Anomaly Detection,2
535,536,Analogical Inference Enhanced Knowledge Graph Embedding,2
1613,1614,LUCID: Exposing Algorithmic Bias through Inverse Design,2
978,979,Towards Inference Efficient Deep Ensemble Learning,2
1605,1606,Point-to-Region Co-learning for Poverty Mapping at High Resolution Using Satellite Imagery,2
1209,1210,ADEPT: A DEbiasing PrompT Framework,2
1528,1529,SlideVQA: A Dataset for Document Visual Question Answering on Multiple Images,2
1100,1101,Contrastive Predictive Autoencoders for Dynamic Point Cloud Self-Supervised Learning,2
1028,1029,MHCCL: Masked Hierarchical Cluster-Wise Contrastive Learning for Multivariate Time Series,2
472,473,Spatio-Temporal Neural Structural Causal Models for Bike Flow Prediction,2
1274,1275,Fairness and Explainability: Bridging the Gap towards Fair Model Explanations,2
475,476,DropMessage: Unifying Random Dropping for Graph Neural Networks,2
1654,1655,PowRL: A Reinforcement Learning Framework for Robust Management of Power Networks,2
477,478,MA-GCL: Model Augmentation Tricks for Graph Contrastive Learning,2
