,Submission,Title,Cited
649,2740,A Style-Based GAN Encoder for High Fidelity Reconstruction of Images and Videos,9
127,5763,3D Object Detection with a Self-supervised Lidar Scene Flow Backbone,9
602,2501,Dense Gaussian Processes for Few-Shot Segmentation,9
1017,4607,Latent Partition Implicit with Surface Codes for 3D Representation,8
1099,4972,diffConv: Analyzing Irregular Point Clouds with an Irregular View,8
462,1709,Egocentric Activity Recognition and Localization on a 3D Map,8
957,4333,An Invisible Black-box Backdoor Attack through Frequency Domain,8
1037,4697,Tackling Background Distraction in Video Object Segmentation,8
1000,4513,Visual Cross-View Metric Localization with Dense Uncertainty Estimates,8
441,1578,Contrastive Positive Mining for Unsupervised 3D Action Representation Learning,8
901,4119,Sound Localization by Self-Supervised Time Delay Estimation,8
968,4378,Exploring the Devil in Graph Spectral Domain for 3D Point Cloud Attacks,8
1059,4820,TALISMAN: Targeted Active Learning for Object Detection with Rare Classes and Slices using Submodular Mutual Information,8
605,2512,Constructing Balance from Imbalance for Long-tailed Image Recognition,8
78,3757,Unpaired Image Translation via Vector Symbolic Architectures,8
456,1677,PalGAN: Image Colorization with Palette Generative Adversarial Networks,8
1290,5898,BigColor: Colorization using a Generative Color Prior for Natural Images,8
480,1780,Prior-Guided Adversarial Initialization for Fast Adversarial Training,8
1312,6000,When Deep Classifiers Agree: Analyzing Correlations between Learning Order and Image Statistics,8
129,6108,Vote from the Center: 6 DoF Pose Estimation in RGB-D Images by Radial Keypoint Voting,8
