Submission,Title,Cited
1844,AdaFocus V2: End-to-End Training of Spatial Dynamic Networks for Video Recognition,27
959,Leveling Down in Computer Vision: Pareto Inefficiencies in Fair Deep Classifiers,27
162,Towards Fewer Annotations: Active Learning via Region Impurity and Prediction Uncertainty for Domain Adaptive Semantic Segmentation,27
1954,3D Common Corruptions and Data Augmentation,27
1887,Compositional Temporal Grounding With Structured Variational Cross-Graph Correspondence Learning,27
451,Learning To Recognize Procedural Activities With Distant Supervision,27
1366,AlignMixup: Improving Representations by Interpolating Aligned Features,27
887,ScanQA: 3D Question Answering for Spatial Scene Understanding,27
1875,Event-Based Video Reconstruction via Potential-Assisted Spiking Neural Network,27
1966,Continual Learning With Lifelong Vision Transformer,27
1429,GroupNet: Multiscale Hypergraph Neural Networks for Trajectory Prediction With Relational Reasoning,26
85,HandOccNet: Occlusion-Robust 3D Hand Mesh Estimation Network,26
985,Thin-Plate Spline Motion Model for Image Animation,26
129,HCSC: Hierarchical Contrastive Selective Coding,26
165,Few Shot Generative Model Adaption via Relaxed Spatial Structural Alignment,26
1221,Look Outside the Room: Synthesizing a Consistent Long-Term 3D Scene Video From a Single Image,26
161,SNUG: Self-Supervised Neural Dynamic Garments,26
1349,Effective Conditioned and Composed Image Retrieval Combining CLIP-Based Features,26
150,Bayesian Invariant Risk Minimization,26
649,Joint Global and Local Hierarchical Priors for Learned Image Compression,26
1208,Styleformer: Transformer Based Generative Adversarial Networks With Style Vector,26
1933,Exploring Set Similarity for Dense Self-Supervised Representation Learning,26
1346,Rethinking Minimal Sufficient Representation in Contrastive Learning,26
1372,Learning To Estimate Robust 3D Human Mesh From In-the-Wild Crowded Scenes,26
1567,A Dual Weighting Label Assignment Scheme for Object Detection,26
1303,NFormer: Robust Person Re-Identification With Neighbor Transformer,26
848,Transferability Estimation Using Bhattacharyya Class Separability,26
692,Label Matching Semi-Supervised Object Detection,26
650,Knowledge Distillation via the Target-Aware Transformer,26
1993,A Structured Dictionary Perspective on Implicit Neural Representations,26
1207,PubTables-1M: Towards Comprehensive Table Extraction From Unstructured Documents,26
406,Occluded Human Mesh Recovery,25
615,The Norm Must Go On: Dynamic Unsupervised Domain Adaptation by Normalization,25
1738,"Segment, Magnify and Reiterate: Detecting Camouflaged Objects the Hard Way",25
1489,Learning To Listen: Modeling Non-Deterministic Dyadic Facial Motion,25
1129,Global Matching With Overlapping Attention for Optical Flow Estimation,25
731,Unified Transformer Tracker for Object Tracking,25
146,Temporal Alignment Networks for Long-Term Video,25
961,RBGNet: Ray-Based Grouping for 3D Object Detection,25
1781,Robust Federated Learning With Noisy and Heterogeneous Clients,25
1370,Vision Transformer Slimming: Multi-Dimension Searching in Continuous Optimization Space,25
1286,BppAttack: Stealthy and Efficient Trojan Attacks Against Deep Neural Networks via Image Quantization and Contrastive Adversarial Learning,25
741,RestoreFormer: High-Quality Blind Face Restoration From Undegraded Key-Value Pairs,25
924,Few Could Be Better Than All: Feature Sampling and Grouping for Scene Text Detection,25
338,VideoINR: Learning Video Implicit Neural Representation for Continuous Space-Time Super-Resolution,25
486,Representation Compensation Networks for Continual Semantic Segmentation,25
1166,Multi-Modal Alignment Using Representation Codebook,25
1309,Pyramid Adversarial Training Improves ViT Performance,25
1607,Unified Multivariate Gaussian Mixture for Efficient Neural Image Compression,25
1375,Correlation-Aware Deep Tracking,25
425,UniCon: Combating Label Noise Through Uniform Selection and Contrastive Learning,24
604,COAP: Compositional Articulated Occupancy of People,24
225,SwapMix: Diagnosing and Regularizing the Over-Reliance on Visual Context in Visual Question Answering,24
1321,Temporally Efficient Vision Transformer for Video Instance Segmentation,24
429,Revisiting Random Channel Pruning for Neural Network Compression,24
1533,Zero Experience Required: Plug & Play Modular Transfer Learning for Semantic Visual Navigation,24
1406,PINA: Learning a Personalized Implicit Neural Avatar From a Single RGB-D Video Sequence,24
734,Generating High Fidelity Data From Low-Density Regions Using Diffusion Models,24
1908,TubeR: Tubelet Transformer for Video Action Detection,24
1619,Self-Supervised Object Detection From Audio-Visual Correspondence,24
1307,Style Transformer for Image Inversion and Editing,24
1551,Deep Equilibrium Optical Flow Estimation,24
1300,Neural Fields As Learnable Kernels for 3D Reconstruction,24
